age,description,has_education,has_family,kongzi_option,kongzi_career_points,kongzi_parents_points,kongzi_children_points,kongzi_health_points,kongzi_friends_points,laozi_option,laozi_career_points,laozi_parents_points,laozi_children_points,laozi_health_points,laozi_friends_points,mozi_option,mozi_career_points,mozi_parents_points,mozi_children_points,mozi_health_points,mozi_friends_points,shang_option,shang_career_points,shang_parents_points,shang_children_points,shang_health_points,shang_friends_points
10,"Though it feels pretty far away, your family wants you to decide whether or not you plan on going to college.",null,null,"I plan to go to college. Education is about getting a transformative experience, and it’s important for bettering myself.",2,1,0,-1,2,"I plan to go to college, but this is just one path I could have taken. I could have gone to trade school or gotten a job right away. I picked what felt right in the moment. ",1,1,0,2,1,I will look up the highest paying major out of all the schools that I got into. I will subtract tuition costs along with opportunity costs of not working those 4 years and take into account higher earnings for college graduates. These metrics will guide my decision.  ,3,1,0,-1,1,"I plan to not go to college. It is best for me to move out of the city and cultivate the farmlands. Or, I could join the military.",-1,1,0,2,1
20,It's hard to believe how fast time is flying. Your family now wants you to start thinking about settling down and starting a family. What is your choice?,null,null,Plan to marry and have children. These relationships will teach me more about myself.,-1,1,3,-1,-1,"I don’t want to settle down. I have so much love to give, and I don’t want to limit it to just one person. ",1,-1,-2,1,0,Have children to take on my responsibilities. I have built too much to just lose it all now.,1,1,1,0,-1,Plan to not marry and have no children.,2,-1,-2,1,1
10,"During an important exam, you notice one of your friends cheating. What will you do?",yes,yes,"Approach them afterward to respectfully express your concerns. Cheating harms their moral character, and it is my duty to guide them back to virtue.",1,0,0,0,-1,"Ignore them. What they're doing is wrong, so sooner or later, they'll face the consequences and learn their lesson.",-1,0,0,0,1,Ignore them. The ghosts will deal with them.,0,0,0,1,1,"""Teacher!""",2,1,0,0,-2
10,"During an important exam, you notice one of your friends cheating. What will you do?",yes,no,"Approach them afterward to respectfully express your concerns. Cheating harms their moral character, and it is my duty to guide them back to virtue.",1,0,0,0,-1,"Ignore them. What they're doing is wrong, so sooner or later, they'll face the consequences and learn their lesson.",-1,0,0,0,1,Ignore them. The ghosts will deal with them.,0,0,0,1,1,"""Teacher!""",2,1,0,0,-2
10,"During an important exam, you notice one of your friends cheating. What will you do?",no,yes,"Approach them afterward to respectfully express your concerns. Cheating harms their moral character, and it is my duty to guide them back to virtue.",1,0,0,0,-1,"Ignore them. What they're doing is wrong, so sooner or later, they'll face the consequences and learn their lesson.",-1,0,0,0,1,Ignore them. The ghosts will deal with them.,0,0,0,1,1,"""Teacher!""",2,1,0,0,-2
10,"During an important exam, you notice one of your friends cheating. What will you do?",no,no,"Approach them afterward to respectfully express your concerns. Cheating harms their moral character, and it is my duty to guide them back to virtue.",1,0,0,0,-1,"Ignore them. What they're doing is wrong, so sooner or later, they'll face the consequences and learn their lesson.",-1,0,0,0,1,Ignore them. The ghosts will deal with them.,0,0,0,1,1,"""Teacher!""",2,1,0,0,-2
20,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",yes,yes,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
20,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",yes,no,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
20,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",no,yes,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
20,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",no,no,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
